id,variant_1,variant_2,variant_3,variant_4,variant_5,variant_6,variant_7,variant_8,variant_9
138,"Emva kokuba idama lakhiwe ngo-1963, izikhukula zamaxesha athile ezaziza kusasaza intlenga kuwo wonke umlambo zamiswa.",,,,,,,,
139,Ezi ngqimba bezifuneka ukuze kwenziwe iingqimba zesanti namalwandle aza kuba yindawo yokuhlala izilwanyana zasendle.,,,,,,,,
140,"Ngenxa yoko, iintlobo ezimbini zeentlanzi ziye zaphela kumhlaba wonke, kwaye ezinye ezimbini zibe sengozini, kubandakanya ne-humpback chub.",,,,,,,,
141,"Nangona izinga lamanzi liyakunyuka ukuya kutsho kancinane ezinyaweni emva kwezikhukhula, amagosa anethemba ayakonela ukubuyisela imigqaliselo yesanti ekhukhulisekileyo ngumsinga.",,,,,,,,
142,"Akukho silumkiso sikhutshiweyo, kwaye ngokwe-arhente yeJakarta geophysics , akukho silumkiso ngetsunami esiya kukhutshwa kuba inyikima ayihlangabezananga nemfuneko ye-6.5.",,,,,,,,
143,"Ngaphandle kokuba kwakungekho sisongelo se-tsunami, abahlali baqala ukothuka kwaye baqala ukushiya amashishini kunye namakhaya abo.",,,,,,,,
144,"Nangona uWinfrey wayelila xa wayevalelisa, wayenza yacaca kubalandeli bakhe ukuba uza kubuya.",,,,,,,,
145,"""Oku akuyi kuba ntle. Oku kukuvalwa kwesahluko esinye nokuvulwa kwesitsha.""",,,,,,,,
146,"Iziphumo zokugqibela zonyulo lobumongameli kunye nepalamente zaseNamibia zibonakalise ukuba umongameli osesikhundleni, uHifikepunye Pohamba, uphinde wonyulwa ngomda omkhulu.",,,,,,,,
147,"TIqela elilawulayo, iSouth West Africa People's Organisation (SWAPO), nayo yaye yagcina isinintsi kulonyulo lwepalamente.",,,,,,,,
148,I-Coalition nemikhosi yaseAfghan yaya kwindawo eza kuhlala kuyo nezinye inqwelomoya ze-coalition zithunyelwe ukuya kuncedisa.,,,,,,,,
149,"Ingozi yehle phezulu kumantla entaba, kaye kukholeleka ukuba nkungenxa yomlilo obumkhulu.",,,,,,,,
150,Iinzame zokukhangela indawo yengozi zihlangatyezwa yimozulu embi kunye neendawo ezimbi.,,,,,,,,
151,"Umbutho wesisa wezonyango uMangola, iMedecines Sans Frontieres kunye noMbutho wezeMpilo weHlabathi bathi sisifo esibi kakhulu esibhaliweyo kweli lizwe.",,,,,,,,
152,"Isithethi se Medecines Sans Frontiere uRichard Veerman sithe: ""iAngola ijongene nolona lwakhe lwalubi uqhambuko kwaye isimo sihleli sisibi kakhulu eAngola,"" utshilo.",,,,,,,,
153,"Imidlalo iqale ngo-10: 00 ekuseni ngemozulu entle kwaye ngaphandle kwentsasa ebike yabanda yayeka ngokukhawuleza, ibilusuku oluhle lombhoxo wesi-7.",,,,,,,,
154,"Abaphambili kule tonamente, uMzantsi Afrika uqale kakuhle xa besoyisa lula iZambiya engunamba 5 ngo-26 - 00.",,,,,,,,
155,"Ubonakala ngokucacileyo ukuba akakho sefomini kulo mdlalo ukunye neSouthern sisters, kodwa ke iSouth Africa iye yaphucula ngokuthe ngcembe njengoko ukhuphiswano luqhubeka.",,,,,,,,
156,"Ukuzikhusela kwabo okuqeqeshekileyo, izakhono zokuphatha ibhola kunye nomsebenzi ogqwesileyo weqela ubenze bagqama kwaye kwacaca ukuba eli liqela eliza kubethwa.",,,,,,,,
157,Amagosa esixeko sase Amsterdam nase Anne Frank Museum achaza ukuba lomthi usuleleke kukungunda kwaye kunganefuthe elinobungozi empilweni kuba besithi ubusele usengozini yokuwa.,,,,,,,,
158,"Ibilindele ukuwiswa ngoLwesibini, kodwa isindile emva kwesigqibo esingxamisekileyo.",,,,,,,,
159,"Zonke izikrobo zomqolomba, ezazithiywe ""Oodade Abasixhenxe"", zingange 100 yeemitha ukuya ku-250 weemitha (amanyathelo ayi328 ukuya ku820) ukuxwesa.",,,,,,,,
160,Imifanekiso ye-Infrared ibonisa umahluko kwiqondo lobushushu phakathi kobusuku nemini ibonisa Ukuba kusenokwenzeka yimiqolombha.,,,,,,,,
161,"""Zipholile kuneendawo ezisondeleyo emini futhi zifudumale ebusuku.",,,,,,,,
162,"Ubushushu bayo abufani njengemiqolomba emikhulu eMhlabeni ehlala igcina ubushushu obungagungqiyo, kodwa iyahambelana nale meko yokuba yimingxunya enzulu emhlabeni,"" utshilo uGlen Cushing wese United States Geological Survey (USGS) IQela le-Astrogeology yaseMelika kunye neYunivesithi yase-Arizona eseFlagstaff, eArizona.",,,,,,,,
163,"E-France, umthetho wokuvota sisenzo esiqhele ubuchwepheshe obusezantsi: abavoti bayazohluka bangene kwiindawo zovota, babeke iphepha-eliselibhaliwe elichaza iqela abalikhethileyo.",,,,,,,,
164,"Emva koba amagosa eqinisekise iincukaca zomvoti, umvoti ufake imvlophu kwibhokisi yovota futhi atyikitye iphepha lokuvota.",,,,,,,,
165,Umthetho wonyulo wase-France uqinisekisa ngokuqatha inkqubo.,,,,,,,,
166,"Ukususela ngo 1988, ibhokisi ze ballot kufuneka zikhanye ukuze ababhekise iliso nabavoti babe nobungqina bokuba akukho zimvulophu zikhoyo ekuqaleni kwevoti nokuba akukho zimvulophu zongezelelweyo ngaphandle kwezo zabo babaliweyo nabagunyazisiweyo abavoti.",,,,,,,,
167,"Abagqatswa bangathumela abameli ukuba bazokungqina lonke icandelo lenkqubo. Ngokuhlwa, iivoti zibalwa ngamavolontiya phantsi kolawulo olunzima, zilandela iinkqubo ezithile.",,,,,,,,
168,"I-ASUS Eee PC, eyalonthswa ngaphambili kwihlabathi liphela ukonga iindleko kunye nokusebenza kwayo, yaba sisihloko esishushu kwinyanga ye-IT yaseTaipei ngo-2007.",,,,,,,,
169,Kodwa intengiso yabathengi kwikhompyuter yelaptop iya kwahluka kakhulu kwaye itshintshwe emva kokuba i-ASUS yanikezelwa kwi-2007 Taiwan Sustainable Award ngu-Executive Yuan weRiphabhlikhi yase China.,,,,,,,,
170,"Iwebhusayithi yesikhululo ichaza umboniso ""njengethiyetha yesikolo esidala enojikelezo olutshatsha nenengcwangu!""",,,,,,,,
171,Kwintsuku zokuqala umfanekiso waboniswa kwisitishi iToginet Radio esebenza njenge-internet radio ejolise kwintetho.,,,,,,,,
172,"Ekupheleni kuka-2015, uTogiNet wavula iAstroNet Radio njengesitishi esongezelelweyo.",,,,,,,,
173,"Umboniso ebekade esebenzisana i-amateur ezingabadlali bamazwi, jikelele ukuya kwimpuma ye-Texas.",,,,,,,,
174,"Ukuphanga okuxhaphakileyo kuthiwa kuyaqhubeka ngobusuku, njengoko amagosa onyanzeliso lomthetho ebengekho kwizitalato zaseBishkek.",,,,,,,,
175,"I-Bishkek ichazwe njengeyatshona kwindawo ""yesiphithiphithi"" ngomnye obukeleyo, njengoko amaqela emigulukudu ajikeleza ezitratweni kwaye ephanga iivenkile zempahla yabathengi.",,,,,,,,
176,Abahlali base-Bishek abaliqela batyhole abaqhankqalazi basemzansi ngokungabinamthetho.,,,,,,,,
177,"UMzantsi Afrika woyise i-All Blacks (New Zealand) kumdlalo wombutho wombhoxo weTri Nations eRoyal Bafokeng Stadium eRustenburg, eMzantsi Afrika.",,,,,,,,
178,"Isikoro sokugqibela ibe luloyiso ngenqaku elinye, 21 ku 20, iphelisa imidlalo I All Black’15 streak iphumelela.","Isikoro sokugqibela ibe luloyiso ngenqaku elinye, 21 ku 20, iphelisa imidlalo a All Black’15 streak iphumelela.","Isikoro sokugqibela ibe luloyiso ngenqaku elinye, 21 ku 20, iphelisa imidlalo b All Black’15 streak iphumelela.",,,,,,
179,"Kumabhoko-bhoko, kuphelisa ukutyiwa kangangemidlalo emihlanu elandelelanayo.",,,,,,,,
180,"Yayingumdlalo wokugqibela we All Blacks, abasele beyiwinile indebe kwiveki ezimbini ezidlulileyo.",,,,,,,,
181,"Umdlalo wokugqibela kolu luhlu uzakubanjelwa e-Ellis Park eRhawutini kwiveki ezayo, xa iSpringboks sidlala ne-Australia.",,,,,,,,
182,Inyikima ebingenamandla kangako yanyikima entshona yeMontana ngo-10:08 p.m. ngoMvulo.,,,,,,,,
183,Akukho ngxelo zikhawlezileyo zifunyenwe yi-U.S.Geological Survey (USGS) kunye neZiko loLwazi ngeNyikima.,,,,,,,,
184,"Inyikima ibijikeleze malunga neekhilomitha ezingama-20 (i-15 yeemayile) emantla-mpuma eDillon, kwaye malunga ne-65 km (40 yeekhilomitha) kumazantsi eButte.",,,,,,,,
185,"Uxinzelelo lomkhuhlane weentaka obulala abantu, i-H5N1, uqinisekisiwe ukuba wosulele idada lasendle elifileyo, elifunyenwe ngoMvulo, kumgxobhozo kufutshane naseLyon kwimpuma yeFrance.",,,,,,,,
186,"IFransi ililizwe lesixhenxe kwinyunyani yase Europe ebethakele kulentsholongwane; kulandele I Austria, Germany,Slovenia,Bulgaria, Greece and Italy.","IFransi ililizwe lesixhenxe kwinyunyani yase Europe ebethakele kulentsholongwane; kulandele a Austria, Germany,Slovenia,Bulgaria, Greece and Italy.","IFransi ililizwe lesixhenxe kwinyunyani yase Europe ebethakele kulentsholongwane; kulandele b Austria, Germany,Slovenia,Bulgaria, Greece and Italy.",,,,,,
187,Azikaqinisekiswa iingxelozokubakho kwesigulo se-H5N1 eCroatia naseDenmark.,,,,,,,,
188,"Amagumbi amangalele uThixo ""ngokufa okusasazekileyo, intshabalalo kunye noloyikiso lwezigidi ngezigidi zabemi bomhlaba.""",,,,,,,,
189,"U-Chambers, umphikisi, uxoxa ngelithi ubutyala bakhe ""abunasihlahla"" kwaye ""nabani na angamangalela nabani na.""",,,,,,,,
190,"Ibali elivezwe kumdlalo weqonga waseFrance, nguCamille Saint-Saens, lelomzobi ""obomi bakhe buchazelwa luthando lweziyobisi kunye neJapan.""",,,,,,,,
191,"Ngenxa yoko, abenzi bomdlalo batshaya intsangu kwiqonga, kwaye nethiyetha ngokwayo ikhuthaza abaphulaphuli ukuba bajoyine.",,,,,,,,
192,"Owayesakuba nguSomlomo weNdlu uNewt Gingrich, irhuluneli yaseTexas uRick Perry, kunye noMongameli Congress Michele Bachmann bagqiba kwindawo yesine, yesihlanu, neyesithandathu ngokwahlukeneyo.",,,,,,,,
193,"Emva kokuba iziphumo zingenile, uGingrich wayincoma iSantorum, kodwa wayenegama elinzima kuRomney, egameni lakhe izibhengezo ezimbi ezazisasazwa eIowa ngokuchasene neGingrich.",,,,,,,,
194,"U-Perry uye wathi uza ""kubuyela eTexas ukuze avavanye iziphumo ze-caucus yanamhlanje ebusuku, ukuze azibonele ukuba ingaba ikhona na indlela eya phambili kolu gqatso"", kodwa kamva wathi uza kuhlala elugqatsweni aze akhuphisane ngoJanuwari 21 eSouth Carolina yamabanga aphantsi.",,,,,,,,
195,"UBachmann, ophumelele i-Ames Straw Poll ngo-Agasti, wagqiba kwelokuba aliphelise iphulo lakhe.",,,,,,,,
196,"Umfoti wafuduselwa kwiziko lonyango iRonald Reagan UCLA, apho wasweleka khona emva koko.",,,,,,,,
197,"Wayechazwa njengosele ekhulile ekwi 20s. Kwingxelo, uBieber wathi ""[n]angona nangona bendingekho okanye ndibandakanyekile kulengozi embi, ingcinga zam nomthandandazo ukunye nekhaya lexhoba.""",,,,,,,,
198,"Iindaba zobumnandi i-TMZ iyaqonda ukuba umfoti wamisa isithuthi sakhe kwelinye icala leSepulveda Boulevard kwaye wazama ukuthatha imifanekiso yamapolisa ngaphambi kokuwela indlela aqhubekeke, eyalela ipolisa laseCalifornia kuhola wendlela oqhuba isitopu amyalele ukuba abuyele ngaphesheya, Kabini.",,,,,,,,
199,"Ngokwamapolisa, umqhubi wesithuthi esibethe umfoti akafane ajongane nezityholo zolwaphulo-mthetho.",,,,,,,,
200,"Njengoba kukhona ii-medals ezilishumi elinesibhozo kuphela ngosuku, amazwe abalekayo ohlulekile ukuqabela iqonga lee-medals.",,,,,,,,
201,"Ziquka i-Netherlands, no-Anna Jochemsen egqiba engowethoba kwi-women's standing class kwi Super-G izolo, nase Finland no Katja Saarinen egqiba engoweshumi kwakulomnyadala.",,,,,,,,
202,Owase Australia u Mitchell Gourley wagqiba kweye shumi elinanye I-men's standing Super-G. Owase Czech umgqatswa uOldrich Jelinek wagqiba kwindawo yeshumi elinesithandathu i-men's sitting Super-G.,,,,,,,,
203,U-Arly Velasquez wase-Mexico uphume ishumi elinesihlanu kwindawo yokuhlala kwamadoda i-Super-G. IHolo yaseAdam yaseNew Zealand iphume isithoba kwindawo yamadoda iSuper-G,,,,,,,,
204,Indoda yasePoland engaboniyo uMaciej Krezel nomkhokheli wayo Anna Ogarzynska bagqiba kwindawo yeshumi elinesithathu kwi Super -G. Owase South Korea u Jong Seork Park wagqiba kwindawo yamashumi amabini anesine kweyamadoda ahleliyo iSuper-G.,,,,,,,,
205,"Abagcini boxolo be-UN, abafike e-Haiti emva kwenyikima yango-2010, batyholwa ngokosulelwano kwesifo esaqala ngakwinkampu yeqela labo.",,,,,,,,
206,"Ngokutsho kwebango, inkunkuma evela kwinkampu ye-UN ibingacocwanga kakuhle, yaze loo nto yabangela ukuba iintsholongwane zingene kumlambo i-Artibonite, omnye wemilambo emikhulu eHaiti.",,,,,,,,
207,"Phambi kokufika kwemikhosi, iHaiti yayingazange idibane neengxaki ezifana nesi sifo ukusukela nge-1800s.",,,,,,,,
208,I-Haitian Institute for Justice and Democracy ibhekise izifundo zayo ezizimeleyo ezibonisa ukuba i-Nepalese UN yokhuseleko egcina uxolo ize nesisifo e-Haiti.,,,,,,,,
209,"UDanielle Lantagne, ingcali ye-UN kwizzifo, uchaze wathi uqhambuko kusenokwenzwka ukuba lubangelwe ngabagadi boxolo.",,,,,,,,
210,U-Hamilton ungqinile ukuba isibhedlela I -Howard University samkele isigulane sikwimeko ezinzileyo.,U-Hamilton ungqinile ukuba isibhedlela a -Howard University samkele isigulane sikwimeko ezinzileyo.,U-Hamilton ungqinile ukuba isibhedlela b -Howard University samkele isigulane sikwimeko ezinzileyo.,,,,,,
211,"Isigulane besiye e Nigeria,apho bekukho abosulelekileyo yintsholongwane ye-Ebola.",,,,,,,,
212,"Isibhedlela siye salandela umyalelo wokulawula ukosuleleka, kuquka ukohlula isigulane kwezinye ukunqanda okunokwenzeka ukosuleleka kwabanye.",,,,,,,,
213,Ngaphambi kweSimpsons uSimon wayesebenze kwimiboniso eliqela kwiindawo ezahlukeneyo.,,,,,,,,
214,"Ngexesha lama-1980s wayesebenza kwimiboniso enje ngeTeksi, iiCheers, kunye neTracy Ullman Show.",,,,,,,,
215,"Ngo-1989 wanceda ukwenza i-The Simpsons no-Brooks futhi no-Groening, futhi wayenoxanduva lokuqesha iqela lokuqala labhali bomdlalo.",,,,,,,,
216,"Ngaphandle kokushiya umboniso ngo-1993 wagcina isihloko somvelisi olawulayo, kwaye waqhubeka nokufumana amashumi ezigidi zeedola rhoqo.",,,,,,,,
217,Ngaphambilana i-arhente yeendaba yaseTshayina iXinhua inikezele ingxelo ngenqwelomoya eza kuphangwa.,,,,,,,,
218,"Ingxelo zamva zachaza ukuba inqwelomoya yafumana isoyikiso sesiqhushumbisi yajikwa ukubuyela umva e Afghanistan, yahlala eKandahar.",,,,,,,,
219,Iingxelo zakwangoko zithi inqwelomoya yabuyela eAfghanistan emva kokuba ingavunyelwanga ukuba ilende ngokungxamisekileyo ukufika e-Urmqi.,,,,,,,,
220,"Iingozi zomoya zixhaphakile eIran, enezithuthi ezindala ezingagcinwanga kakuhle kwimisebenzi yoluntu neyomkhosi.",,,,,,,,
221,Isohlwayo samanye amazwe sithethe ukuba inqwelo moya entsha ayinakuthengwa.,,,,,,,,
222,"Ekuqaleni kwaleveki, inqwelontaka yamapolisa iwe yabulala abantu abathathu yonzakalisa abanye abathathu.",,,,,,,,
223,"Kwinyanga ephelileyo i-Iran ibone eyona ntlekele inkulu yomoya kwiminyaka eyadlulayo xa inqwelo moya eyayisiya eArmenia yaphazamiseka, yabulala abali-168 ababekhwele kuyo.",,,,,,,,
224,Kulonyanga iphinde yabona enye inqwelo moya iphosa umgaqo wayo e-Mashhad kwaye yayshayisa idonga kwasweleka ishumi elinesixhenxe.,,,,,,,,
225,Abakwa -Aerosmith bazirhoxisile ikhonsathi ebezishiyekile kwithori zabo.,,,,,,,,
226,Iqela lomculo werock belilindeleke ukuba lihambele eMerika naseCanada kude kube ngee-16 zikaSeptemba.,,,,,,,,
227,Baye balurhoxisa ukhenketho emveni kokuba imvumi ekhokhelayo u Steven Tyler eye wanokwenzakala emveni kokuba ewile eqongeni ngelixa uphefoma ngomhla we sihlanu ku Augusti.,,,,,,,,
228,UMurray ulahlekelwe yiseti yokuqala xa bekusohlukaniswa ukulingana kwamanqaku abo ekubeni ndoda nganye ingakhange yoyiswe kumdlalo xa bekuqala yona ukubetha ibhola.,,,,,,,,
229,"UDel Potro wayenethuba lokuqala kuseto lwesibini, kodwa oku kwafuna ikhefu lokuqina emva kokufika kwi-6-6.",,,,,,,,
230,U Potro ufumene unyango kwigxalaba lakhe ngalomzuzu kodwa ukwazile ukubuyela emdlalweni.,,,,,,,,
231,Inkqubo iqale nge-8: 30 p.m. ixesha lasekhaya (15.00 UTC).,,,,,,,,
232,"Iimvumi ezaziwayo kwilizwe liphela zamela i-bhajans, okanye iingoma zonqulo, kwiinyawo zika Shri Shyam.",,,,,,,,
233,"Imvumi uSanju Sharma uqale ngorhatya, walandelwa nguJai Shankar Choudhary. Imangazelele i-chhappan bhog bhajan nayo. Imvumi, uRaju Khandelwal wayehamba naye.",,,,,,,,
234,"Ngoko, u-Lakkah Singh uyewakhokhela ecula amabhajan.",,,,,,,,
235,"Ii pleyti eziyi 108 ze Chhappan Bhog (ngesiHindu, 56 yezinto ezityekayo, njengeelekese, iziqhamo, amantongomane, izidlo njl njal. ezinikelwa kwisithixo) zazinikelwa kuBaba Shyam.",,,,,,,,
236,"U-Lakkha Singh ubonise i-chhappan bhog bhajan nayo. Imvumi, uRaju Khandelwal wayehamba naye.",,,,,,,,
237,"Kwintetho ephambili yangoLwesine yeTokyo Game Show, uMongameli weNintendo uSatoru Iwata watyhila uyilo lolawulo lwenkampani entsha yeNintendo Revolution.",,,,,,,,
238,"Efana ne-remote yomabonwakude, i-controlla isebenzisa ii-sensor ezimbhini ezibekwe kufuphi nomabonakude womntu ukuveza ukuma kwayo kwisithuba sobukhulu besithathu.",,,,,,,,
239,Oku kuyakuvumela abadlali ukuba balawule iintshukumo kunye nentshukumo kwimidlalo yevidiyo ngokuhambisa isixhobo emoyeni.,,,,,,,,
240,UGiancarlo Fisichella waphulukana nokulawula imoto yakhe yaye waphuma kumdyarho kamsinya emva kokuba uqalile.,,,,,,,,
241,"Umdlali weqela lakhe u Fernando Alonso wayekhokhele ebudeni bomdyarho, kodwa wayeka nje ukuba ipiy yakhe ime, mhlawumbe kungenxa yokuba ivili lalibotshwe kakubi.",,,,,,,,
242,"UMichael Schumacher wayigqiba ireyisi yakhe kungakudalanga kakhulu emva ko Alonso, ngenxa yomonakalo wokuyekiswa namadabi amaninzi ngelixa lereyisi.",,,,,,,,
243,"""Uyathandeka ibe ucula kamandi,"" utshilo ngokombhalo wengqungquthela yeendaba.",,,,,,,,
244,"""Ibichukumiseka qho intliziyo yam xa siprekthiza le nto, ngokusuka emazantsi entliziyo yam.""",,,,,,,,
245,"Malunga nemizuzu emi-3 kulontshwe, ikhamera esebhodini ibonise iziqwenga ezininzi zokugqobhoza amagwebu kude netanki lamafutha.",,,,,,,,
246,"Nangona kunjalo, ayicingelwa ukuba ibangele monakalo kwisithuthi.",,,,,,,,
247,"Umphathi we-NASA oyintloko kwinkqubo ye-shuttle uN.Wayne Hale Jr. uthe amagwebu awile ""emva kwexesha esinexhala lalo.""",,,,,,,,
248,"Emizuzwini emihlanu izibonakalisile umoya waqala ukuvuthuza,emva komzuzu, umoya wabe sele ufikelela I 70km/h… kwaze kwalandela imvula, yabe irhabaxa inkulu kangangokuqa ikuqhwabe esikhumbeni okwenaliti, emva koko kweza isichotho samatye esiwa esibhakabhakeni, abantu besoyika futhi bekhwaza yaye bebaleka omnye phezu komnye.","Emizuzwini emihlanu izibonakalisile umoya waqala ukuvuthuza,emva komzuzu, umoya wabe sele ufikelela a 70km/h… kwaze kwalandela imvula, yabe irhabaxa inkulu kangangokuqa ikuqhwabe esikhumbeni okwenaliti, emva koko kweza isichotho samatye esiwa esibhakabhakeni, abantu besoyika futhi bekhwaza yaye bebaleka omnye phezu komnye.","Emizuzwini emihlanu izibonakalisile umoya waqala ukuvuthuza,emva komzuzu, umoya wabe sele ufikelela b 70km/h… kwaze kwalandela imvula, yabe irhabaxa inkulu kangangokuqa ikuqhwabe esikhumbeni okwenaliti, emva koko kweza isichotho samatye esiwa esibhakabhakeni, abantu besoyika futhi bekhwaza yaye bebaleka omnye phezu komnye.",,,,,,
249,"Ndalahlekelwa ngudadewethu netshomi yake, endleleni yam kwaye kukho abantu ababini abakhubazekileyo bekwizitulo zamavili, abantu nje betsiba ngapha kwabo yake bebathyiliza,"" utshilo uArmand Versace.",,,,,,,,
250,I-NHK ichaze ukuba i-Kashiwazaki Kariwa nuclear power plant eseNiigata prefecture isebenza kakuhle.,,,,,,,,
251,I-Hokuriku Electric Power Co. ayichazanga miphumela ebangelwe yinyikima nokuba Inombolo-1 neye-2 ye-reactors eShika nuclearpower plant ziye zavalwa.,,,,,,,,
252,Kuchazwe ukuba amakhaya ayi 9400 kwingingqi awanamanzi nali 100 awanambane.,,,,,,,,
253,"Ezinye iindlela zonakalisiwe, inkonzo kaloliwe iphazamisekile kwiindawo ezichaphazelekayo, kwaye iNoto Airport eIshikawa prefecture ihleli ivaliwe.",,,,,,,,
254,Ibhombu enye yadubula ngaphandle kweofisi Yeruluneli Jikelele,,,,,,,,
255,Ezinye iibhombu ezintathu zaqhuma kufutshane nezakhiwo zikarhulumente kwisithuba seeyure ezimbini.,,,,,,,,
256,"Ezinye iingxelo zibeka inani elisemthethweni lokufa kwabantu abasibhozo, kwaye iingxelo ezisemthethweni ziqinisekisa ukuba i-30 yenzakele; kodwa amanani okugqibela awaziwa.",,,,,,,,
257,Zombini i-cyanuric acid nemelamine zafunyanwa kwisampula zomchamo wezilwanyana ezife emveni kokutya ukutya kwezilwanyana okunethyefu.,,,,,,,,
258,"Iikhompawundi ezimbini ziyadibana zenze izinto eziqaqambileyo anokuqanda umsebenzi wentso, batsho abaphandi bakule yunivesithi.",,,,,,,,
259,Abaphandi baqaphela iikristali ezenziwe kumchamo wekati ngokudibanisa i-melamine kunye ne-cyanuric acid.,,,,,,,,
260,Ukubumbeka kwezi kristali kufana noko kufunyanwa kumchamo wezilwanyane xa uthelekiswe ne-spectostrophy ye-infrared (FTIR).,,,,,,,,
261,"Andazi ukuba uyayiqonda na okanye hayi, kodwa uninzi lwempahla ezivela kuMbindi Merika zeza kweli ngaphandle rhafu.",,,,,,,,
262,Kodwa ipesenti ezisibhozo zempahla zethu bezibhatalelwa itarrifu kumazwe akuMbindi Merika. Siyanilungisa.,,,,,,,,
263,Laa nto khange yenze ngqondo kum; ayibobulungisa tu.,,,,,,,,
264,Konke endikutshoyo ebantwini kukuba siphatheni ngendlela esiniphatha ngayo.,,,,,,,,
265,Urhuluneli wase California u Arnold Schwarzenegger watyikitya ukuba ibe ngumthetho ukuthintela ukuthengiswa okanye ukuqeshwa kwevidiyo zokudlala ezinemfazwe kubantwana.,,,,,,,,
266,"Umthetho oyilwayo ufuna imidlalo yevidiyo enogonyamelo ithengiswe kwiphondo laseCalifornia ukuba ibhalwe uphawu lokufunda ""u-18"" kwaye yenze ukuba ukuthengisa kwabo umntwana kohlwaywe isohlwayo se- $ 1000 ngetyala.",,,,,,,,
267,"UMlawuli wezoTshutshiso loLuntu, u-Kier Starmer QC, wenze ingxelo ngale ntsasa evakalisa ukutshutshiswa kwabo bobabini uHuhne noPryce.",,,,,,,,
268,U-Huhne urhoxile kwaye oza kungena esikhundleni kwiKhabhinethi ngu-Ed Davey MP. Norman Lam MP kulindeleke ukuba athathe umsebenzi woMphathiswa Wezamashishini uDavey uyaphuma.,,,,,,,,
269,UHuhne noPryce bacwangciselwe ukuvela kwiNkundla kaMantyi yaseWestminster ngoFebruwari 16.,,,,,,,,
270,"Ababhubhileyo nguNicholas Alden, 25, kunye noZachary Cuddeback, 21. UCuddeback wayekade eqhuba.",,,,,,,,
271,U-Edgar Verguilla wafumana amanxeba kwingalo nomhlathi ngelixa uKristofer Schneider washiyeka edinga utyando lokubumbha ubuso bakhe.,,,,,,,,
272,"Isixhobo sikaUka sayeka ukusebenza ngoxa wayesijongise kwintloko yendoda yesihlanu. USchneider unentlungu eqhubekayo, akaboni ngeliso elinye, akanayo inxalenye yokakayi kwaye unobuso obenziwe nge-titanium.",,,,,,,,
273,USchneider unikele ubungqina ngelinki yevidiyo ekwiUSAF ekummandla wakokwabo.,,,,,,,,
274,"Ngaphandle kwe-iventi yangoLwesithathu, uCarpanedo wakhuphisana kwimidyarho yeeNtshatsheli.",,,,,,,,
275,"Eyokuqala yakhe yayiSlalom, apho wafumana AWUGQIBANGA kumtyibilizo wakhe wokuqala. Abadlali abayi-36 kwabayi-116 nabo bafumana iziphumo ezifanayo kula mtyibilizi.",,,,,,,,
276,"Olunye ugqatso lakhe, iGalant Slalom, yambona egqiba kwindawo yeshumi kwiqela labafazi elihleliyo kunye nexesha lokubaleka elidibeneyo le-4: 41.30, 2: 11.60 imizuzu ecothayo kunendawo yokuqala yokugqiba iAustria uClaudia Loesch kunye nemizuzu eyi-1: 09.02 kancinci kunendawo yesithoba Kugqitywe uGyöngyi Dani waseHungary.",,,,,,,,
277,"Ii-skiers ezine kwiqela lamanina elihleliyo loyisakele ukugqibezela ithuba lalo, kwaye abayi 45 kwi 117 skiers kwi Giant Salom boyisiwe ukuphumelela kwimbaleko.",,,,,,,,
278,Amapolisa aseMadhya Pradesh ayifumene ilaptop ebibiwe nefowuni.,,,,,,,,
279,"Usekela Jikelele Wokuhlola D K Arya wathi, ""Sibambe abantu abahlanu abadlwengule inenekazi lase Swiss saze sayifumana ifone yakhe nelaptop"".",,,,,,,,
280,"Abatyholwa babizwa ngoluhlobo ngu-Baba Kanjar, u-Bhutha Kanjar, u-Rampro Kanjar, u-Gaza Kanjar no-Vishnu Kanjar.",,,,,,,,
281,Intsumpa yamapolisa uChandra Shekhar Solanki uthe umtyholwa uvele enkundleni ezogqume ubuso.,,,,,,,,
282,"Nangona abantu abathathu babengaphakathi endlwini xa imoto ibiyigilisa, akukho namnye kubo owonzakeleyo.",,,,,,,,
283,"Kunjalo, umqhubi ufumene ukulimala okumandla entloko.",,,,,,,,
284,Indlela apho ingozi yenzeke khona iye yavalwa okwethutyana ngexesha abeenkonzo zoncedo olungxamisekileyo bekhulula umqhubi kwi-Audi TT ebomvu.,,,,,,,,
285,Waye wangeniswa kuqala kwisibhedlela i-James Paget Hospital e-Great Yarmouth.,,,,,,,,
286,Waye watshintshelwa kwisibhedlela I-Addenbrooke's Hospital eCambridge.,,,,,,,,
287,Ukususela ngoko uAdekoya ebese-Edinburgh Sheriff Court etyholwa ngokubulala unyana wakhe.,,,,,,,,
288,"Ubanjiwe kusamelwe ukutyholwa nesigwebo, kodwa ubungqina bamangqina ingaba bubonakele ngenxa yokusasazwa komfanekiso wakhe ngobubanzi.",,,,,,,,
289,Esi sisenzo esiqhelekileyo kwenye indawo e-UK kodwa ubulungisa baseScotland busebenza ngokwahlukileyo kwaye iinkundla zikubonile ukupapashwa kweefoto njengezinto ezinokuthi zithintele.,,,,,,,,
290,"UProfesa Pamela Ferguson waseUniversity of Dundee ubhala esithi ""iintatheli ziba sesichengeni ukuba zipapasha iifoto nezinye izinto zabarhanelwa.""",,,,,,,,
